url,label
azfamily.com,reliable
babnet.net,mixed
backchannel.com,reliable
backroombuzz.com,unreliable
badgerinstitute.org,mixed
bakersfieldnow.com,reliable
balkaninsight.com,reliable
ballotpedia.org,reliable
baltimore.cbslocal.com,reliable
baltimoresun.com,reliable
bangkokpost.com,mixed
bangordailynews.com,reliable
banned.video,unreliable
baptistnews.com,reliable
barenakedislam.com,unreliable
barrietoday.com,reliable
barrons.com,reliable
batimes.com.ar,reliable
battlecreekenquirer.com,reliable
baxterbulletin.com,reliable
baynature.org,reliable
bb4sp.com,unreliable
bbc.com,reliable
bdnews24.com,unreliable
beaconjournal.com,reliable
bearingarms.com,mixed
beatricedailysun.com,reliable
beckernews.com,unreliable
beforeitsnews.com,unreliable
beholdisrael.org,mixed
beinglibertarian.com,mixed
belfercenter.org,reliable
beliefnet.com,mixed
bellingcat.com,reliable
bellinghamherald.com,reliable
bemidjipioneer.com,reliable
BenjaminFulford.typepad.com,unreliable
benzinga.com,reliable
berkeleyside.com,reliable
berkshireeagle.com,reliable
berliner-zeitung.de,reliable
berlingske.dk,reliable
bestlifeonline.com,reliable
bestnewshere.com,unreliable
bettergov.org,reliable
bgr.com,reliable
bigcountryhomepage.com,reliable
biggovernment.news,unreliable
bigleaguepolitics.com,unreliable
bignewsnetwork.com,reliable
bigthink.com,reliable
bild.de,mixed
billingsgazette.com,reliable
billionbibles.org,unreliable
billmoyers.com,reliable
bing.com,reliable
biography.com,reliable
biologos.org,mixed
bipartisanpolicy.org,reliable
bipartisanreport.com,unreliable
birminghammail.co.uk,reliable
bismarcktribune.com,reliable
bitchmedia.org,reliable
bitchute.com,unreliable
bizpacreview.com,mixed
blabber.buzz,mixed
blackagendareport.com,mixed
blackamericaweb.com,reliable
blackenterprise.com,reliable
blackeyepolitics.com,unreliable
blackgenocide.org,unreliable
blacklistednews.com,mixed
blacklivesmatter.com,mixed
blacknews.com,unreliable
blackpigeonspeaks.com,unreliable
blackpressusa.com,reliable
blckbx.tv,unreliable
bleacherreport.com,reliable
bleepingcomputer.com,reliable
bloomberg.com,reliable
bluelivesmatter.blue,mixed
bluestemprairie.com,reliable
bluntforcetruth.com,unreliable
bnc.tv,reliable
bnd.com,reliable
bnonews.com,reliable
bnr.nl,reliable
boingboing.net,mixed
boldprogressives.org,mixed
bongino.com,unreliable
bonsens.info,unreliable
boomlive.in,reliable
borderreport.com,reliable
bossip.com,unreliable
boston.cbslocal.com,reliable
boston.com,reliable
boston25news.com,reliable
bostonglobe.com,reliable
bostonherald.com,reliable
bostonleader.com,unreliable
bostonreview.net,reliable
boundingintocomics.com,mixed
bozemandailychronicle.com,reliable
bradford-delong.com,reliable
brainerddispatch.com,reliable
bramptonguardian.com,reliable
brandnewtube.com,unreliable
breaking911.com,unreliable
breakingchristiannews.com,unreliable
breakingdefense.com,reliable
breitbart.com,mixed
brennancenter.org,reliable
bridgemi.com,reliable
brighteon.com,unreliable
brightside.me,mixed
bringmethenews.com,reliable
britainfirst.org,unreliable
brookings.edu,reliable
brownstone.org,mixed
brproud.com,reliable
brut.media,reliable
bt.dk,reliable
buffalochronicle.com,unreliable
buffalonews.com,reliable
bugout.news/#,unreliable
bullshido.net,reliable
burnettcountysentinel.com,reliable
business2community.com,reliable
businessinsider.com,reliable
businesslive.co.za,mixed
business-standard.com,reliable
bust.com,reliable
bustle.com,reliable
buzzfeed.com,mixed
buzzfeednews.com,reliable
bylinetimes.com,reliable
c19bromhexine.com,mixed
c19colchicine.com,mixed
c19early.com,mixed
c19nitazoxanide.com,mixed
c19proxalutamide.com,mixed
c19quercetin.com,mixed
c19rmd.com,mixed
c19vitaminc.com,mixed
c2cjournal.ca,reliable
c4ads.org,reliable
c4ss.org,reliable
cagw.org,reliable
cair.com,unreliable
caldronpool.com,unreliable
caledonenterprise.com,reliable
calgary.citynews.ca,reliable
calgaryherald.com,reliable
californiaglobe.com,mixed
caller.com,reliable
cambridgetimes.ca,reliable
campaignforliberty.org,mixed
campaignlifecoalition.com,mixed
campusinsanity.com,unreliable
campusreform.org,mixed
canadafreepress.com,unreliable
canadalandshow.com,reliable
canadiandimension.com,reliable
canadians.org,reliable
cancer.news,unreliable
CannaSOS.com,unreliable
capecodtimes.com,reliable
capecoralbreeze.com,reliable
capitalandmain.com,reliable
capitalgazette.com,reliable
capitalismmagazine.com,reliable
capitalresearch.org,mixed
capitolfax.com,reliable
capoliticalreview.com,reliable
care2.com,mixed
caribbeanlifenews.com,reliable
carm.org,unreliable
carnegieendowment.org,reliable
carolinapublicpress.org,reliable
carrollconews.com,reliable
cartelpress.com,unreliable
castanet.net,reliable
catchnews.com,reliable
catholic.org,mixed
cato.org,reliable
cato.org/regulation,reliable
cbc.ca,reliable
cbpp.org,reliable
cbs12.com,reliable
cbs17.com,reliable
cbs2iowa.com,reliable
cbs42.com,reliable
cbs4indy.com,reliable
cbs4local.com,reliable
cbs6albany.com,reliable
cbs7.com,reliable
cbs8.com,reliable
cbsaustin.com,reliable
cbsnews.com,reliable
cbsnews.com/dfw,reliable
cbsnews.com/pittsburgh,reliable
cc.org,mixed
ccn.com,reliable
cdt.org,reliable
ceasefiremagazine.co.uk,reliable
cecildaily.com,reliable
cecildaily.com/susquehanna_press,reliable
ced.org,reliable
cei.org,unreliable
censor.net,reliable
centerforinquiry.org,reliable
centerforpolitics.org,reliable
centerforsecuritypolicy.org,unreliable
cepr.net,reliable
cernovich.com,unreliable
cfact.org,unreliable
cfr.org,reliable
cftni.org,reliable
cgdev.org,reliable
chalkbeat.org,reliable
change.org,mixed
channel3000.com,reliable
channel4.com/news,reliable
channel45news.com,unreliable
channelnewsasia.com,reliable
charismanews.com,mixed
charitynavigator.org,reliable
charlotteobserver.com,reliable
checkyourfact.com,reliable
cheddar.com,reliable
chicago.cbslocal.com,reliable
chicago.suntimes.com,reliable
chicagoreader.com,reliable
chicagoreporter.com,reliable
